Designator,Mid X,Mid Y,Layer,Rotation
C1,102.088mm,-83.612mm,Top,-90.0
C2,101.413mm,-81.792mm,Top,180.0
J1,105.500mm,-89.650mm,Top,0.0
MK1,105.500mm,-83.600mm,Top,0.0
